BE     | 2025-02-18T21:21:42.966+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-5] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=65
BE     | 2025-02-18T21:21:42.966+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-7] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=74
BE     | 2025-02-18T21:21:42.966+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-8] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=65
BE     | 2025-02-18T21:21:42.966+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-5] c.c.socketio.handler.EncoderHandler      : Out message: 42/socket.io,["game:result:send",{"winner":"HUMAN","message":"인간 승리","players":[{"number":1,"nickname":"hevysite99","died":false,"inGame":true},{"number":2,"nickname":"AI-2","died":true,"inGame":true},{"number":3,"nickname":"dummyhoon1","died":true,"inGame":true},{"number":4,"nickname":"kwondhl9","died":false,"inGame":true},{"number":5,"nickname":"imjh990614","died":true,"inGame":true},{"number":6,"nickname":"AI-3","died":true,"inGame":true},{"number":7,"nickname":"enderstream00","died":false,"inGame":true},{"number":8,"nickname":"timothy.jubo","died":true,"inGame":true}]}] sessionId: 17823dea-879e-4f33-a318-9a88c74f424e
BE     | 2025-02-18T21:21:42.967+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-5] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=164
BE     | 2025-02-18T21:21:42.967+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-2] c.c.socketio.handler.EncoderHandler      : Out message: 42/socket.io,["game:result:send",{"winner":"HUMAN","message":"인간 승리","players":[{"number":1,"nickname":"hevysite99","died":false,"inGame":true},{"number":2,"nickname":"AI-2","died":true,"inGame":true},{"number":3,"nickname":"dummyhoon1","died":true,"inGame":true},{"number":4,"nickname":"kwondhl9","died":false,"inGame":true},{"number":5,"nickname":"imjh990614","died":true,"inGame":true},{"number":6,"nickname":"AI-3","died":true,"inGame":true},{"number":7,"nickname":"enderstream00","died":false,"inGame":true},{"number":8,"nickname":"timothy.jubo","died":true,"inGame":true}]}] sessionId: 7bedb990-a771-4f47-a1f9-165bfff3af67
BE     | 2025-02-18T21:21:42.967+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-1] c.c.socketio.handler.EncoderHandler      : Out message: 42/socket.io,["game:result:send",{"winner":"HUMAN","message":"인간 승리","players":[{"number":1,"nickname":"hevysite99","died":false,"inGame":true},{"number":2,"nickname":"AI-2","died":true,"inGame":true},{"number":3,"nickname":"dummyhoon1","died":true,"inGame":true},{"number":4,"nickname":"kwondhl9","died":false,"inGame":true},{"number":5,"nickname":"imjh990614","died":true,"inGame":true},{"number":6,"nickname":"AI-3","died":true,"inGame":true},{"number":7,"nickname":"enderstream00","died":false,"inGame":true},{"number":8,"nickname":"timothy.jubo","died":true,"inGame":true}]}] sessionId: 819162a8-c21d-458e-a439-82c7dd45318b
BE     | 2025-02-18T21:21:42.967+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-3] c.c.socketio.handler.EncoderHandler      : Out message: 42/socket.io,["game:result:send",{"winner":"HUMAN","message":"인간 승리","players":[{"number":1,"nickname":"hevysite99","died":false,"inGame":true},{"number":2,"nickname":"AI-2","died":true,"inGame":true},{"number":3,"nickname":"dummyhoon1","died":true,"inGame":true},{"number":4,"nickname":"kwondhl9","died":false,"inGame":true},{"number":5,"nickname":"imjh990614","died":true,"inGame":true},{"number":6,"nickname":"AI-3","died":true,"inGame":true},{"number":7,"nickname":"enderstream00","died":false,"inGame":true},{"number":8,"nickname":"timothy.jubo","died":true,"inGame":true}]}] sessionId: 724d8559-0bd7-4212-9ed2-b43a564ad106
BE     | 2025-02-18T21:21:42.967+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-1] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=74
BE     | 2025-02-18T21:21:42.967+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-3] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=74
BE     | 2025-02-18T21:21:42.967+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-2] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=93
